gene_cluster_id	Pangenome	Environment	Enviro_Specific
GC_00000437	Core	NA	NA
GC_00000438	Core	NA	NA
GC_00000439	Core	NA	NA
GC_00000441	Core	NA	NA
GC_00000442	Core	NA	NA
GC_00000443	Core	NA	NA
GC_00000444	Core	NA	NA
GC_00000445	Core	NA	NA
GC_00000446	Core	NA	NA
GC_00000447	Core	NA	NA
GC_00000448	Core	NA	NA
GC_00000449	Core	NA	NA
GC_00000450	Core	NA	NA
GC_00000451	Core	NA	NA
GC_00000452	Core	NA	NA
GC_00000453	Core	NA	NA
GC_00000454	Core	NA	NA
GC_00000455	Core	NA	NA
GC_00000456	Core	NA	NA
GC_00000457	Core	NA	NA
GC_00000458	Core	NA	NA
GC_00000459	Core	NA	NA
GC_00000460	Core	NA	NA
GC_00000461	Core	NA	NA
GC_00000462	Core	NA	NA
GC_00000463	Core	NA	NA
GC_00000464	Core	NA	NA
GC_00000465	Core	NA	NA
GC_00000466	Core	NA	NA
GC_00000467	Core	NA	NA
GC_00000468	Core	NA	NA
GC_00000469	Core	NA	NA
GC_00000470	Core	NA	NA
GC_00000471	Core	NA	NA
GC_00000472	Core	NA	NA
GC_00000473	Core	NA	NA
GC_00000474	Core	NA	NA
GC_00000475	Core	NA	NA
GC_00000476	Core	NA	NA
GC_00000477	Core	NA	NA
GC_00000478	Core	NA	NA
GC_00000479	Core	NA	NA
GC_00000480	Core	NA	NA
GC_00000481	Core	NA	NA
GC_00000482	Core	NA	NA
GC_00000483	Core	NA	NA
GC_00000485	Core	NA	NA
GC_00000487	Core	NA	NA
GC_00000488	Core	NA	NA
GC_00000489	Core	NA	NA
GC_00000490	Core	NA	NA
GC_00000491	Core	NA	NA
GC_00000492	Core	NA	NA
GC_00000494	Core	NA	NA
GC_00000495	Core	NA	NA
GC_00000496	Core	NA	NA
GC_00000497	Core	NA	NA
GC_00000498	Core	NA	NA
GC_00000499	Core	NA	NA
GC_00000500	Core	NA	NA
GC_00000501	Core	NA	NA
GC_00000502	Core	NA	NA
GC_00000503	Core	NA	NA
GC_00000504	Core	NA	NA
GC_00000505	Core	NA	NA
GC_00000506	Core	NA	NA
GC_00000507	Core	NA	NA
GC_00000508	Core	NA	NA
GC_00000509	Core	NA	NA
GC_00000510	Core	NA	NA
GC_00000511	Core	NA	NA
GC_00000512	Core	NA	NA
GC_00000514	Core	NA	NA
GC_00000515	Core	NA	NA
GC_00000516	Core	NA	NA
GC_00000517	Core	NA	NA
GC_00000518	Core	NA	NA
GC_00000519	Core	NA	NA
GC_00000520	Core	NA	NA
GC_00000521	Core	NA	NA
GC_00000522	Core	NA	NA
GC_00000523	Core	NA	NA
GC_00000524	Core	NA	NA
GC_00000525	Core	NA	NA
GC_00000526	Core	NA	NA
GC_00000527	Core	NA	NA
GC_00000528	Core	NA	NA
GC_00000529	Core	NA	NA
GC_00000530	Core	NA	NA
GC_00000531	Core	NA	NA
GC_00000532	Core	NA	NA
GC_00000533	Core	NA	NA
GC_00000534	Core	NA	NA
GC_00000535	Core	NA	NA
GC_00000536	Core	NA	NA
GC_00000537	Core	NA	NA
GC_00000538	Core	NA	NA
GC_00000539	Core	NA	NA
GC_00000540	Core	NA	NA
GC_00000541	Core	NA	NA
GC_00000542	Core	NA	NA
GC_00000543	Core	NA	NA
GC_00000544	Core	NA	NA
GC_00000545	Core	NA	NA
GC_00000546	Core	NA	NA
GC_00000547	Core	NA	NA
GC_00000548	Core	NA	NA
GC_00000549	Core	NA	NA
GC_00000550	Core	NA	NA
