Func_Cluster_id	Pangenome	Environment	Enviro_specific
func_c8dddec61276	Core_Pelagibacteraceae	NA	NA
func_f11cfd0f78b9	Core_Pelagibacteraceae	NA	NA
func_cefbb41d69d2	Core_Pelagibacteraceae	NA	NA
func_f5bd03c494a9	Core_Pelagibacteraceae	NA	NA
func_db3c6d093674	Core_Pelagibacteraceae	NA	NA
func_7d2708377c6d	Core_Pelagibacteraceae	NA	NA
func_f82d9cd4ac69	Core_Pelagibacteraceae	NA	NA
func_19686e0f6448	Core_Pelagibacteraceae	NA	NA
func_d79bdc83b958	Core_Pelagibacteraceae	NA	NA
func_8950190fbafc	Core_Pelagibacteraceae	NA	NA
func_a8847b9d0ebc	Core_Pelagibacteraceae	NA	NA
func_f2cfacaf64f9	Core_Pelagibacteraceae	NA	NA
func_4e75266b9d79	Core_Pelagibacteraceae	NA	NA
func_ae5cfbce8836	Core_Pelagibacteraceae	NA	NA
func_6b408e33d41f	Core_Pelagibacteraceae	NA	NA
func_6dd55273f2bb	Core_Pelagibacteraceae	NA	NA
func_d5fe14f0269f	Core_Pelagibacteraceae	NA	NA
func_877d54571b3b	Core_Pelagibacteraceae	NA	NA
func_c0fd74409913	Core_Pelagibacteraceae	NA	NA
func_c99dc23755f9	Core_Pelagibacteraceae	NA	NA
func_f4f3c5a1e4f2	Core_Pelagibacteraceae	NA	NA
func_759a9f7b66fc	Core_Pelagibacteraceae	NA	NA
func_ed7cbbe2ec17	Core_Pelagibacteraceae	NA	NA
func_de3fce031d70	Core_Pelagibacteraceae	NA	NA
func_d72e58fcde55	Core_Pelagibacteraceae	NA	NA
func_ca15e3196ed0	Core_Pelagibacteraceae	NA	NA
func_90797a0ea14a	Core_Pelagibacteraceae	NA	NA
func_df32fdb77dbb	Core_Pelagibacteraceae	NA	NA
func_29598fdf233e	Core_Pelagibacteraceae	NA	NA
func_c4ba1ea3aa40	Core_Pelagibacteraceae	NA	NA
func_3967a4eb53e6	Core_Pelagibacteraceae	NA	NA
func_69bd788800f8	Core_Pelagibacteraceae	NA	NA
func_6d90bdb72c7e	Core_Pelagibacteraceae	NA	NA
func_59bb8bc810d1	Core_Pelagibacteraceae	NA	NA
func_a89d24c48d72	Core_Pelagibacteraceae	NA	NA
func_bab6153cb92b	Core_Pelagibacteraceae	NA	NA
func_09315dba3a3e	Core_Pelagibacteraceae	NA	NA
func_851061e600fc	Core_Pelagibacteraceae	NA	NA
func_f36d3a2c78f9	Core_Pelagibacteraceae	NA	NA
func_67ff5fe2bdd6	Core_Pelagibacteraceae	NA	NA
func_2134cae1785a	Core_Pelagibacteraceae	NA	NA
func_14d8db923016	Core_Pelagibacteraceae	NA	NA
func_2db6d63d8115	Core_Pelagibacteraceae	NA	NA
func_ab3fab936096	Core_Pelagibacteraceae	NA	NA
func_e0fcc58571a4	Core_Pelagibacteraceae	NA	NA
func_3eea8ed02772	Core_Pelagibacteraceae	NA	NA
func_0e1b357a504b	Core_Pelagibacteraceae	NA	NA
func_f0541aeb52bb	Core_Pelagibacteraceae	NA	NA
func_c52e8c08ab71	Core_Pelagibacteraceae	NA	NA
func_e8362269e495	Core_Pelagibacteraceae	NA	NA
func_f168d20406d5	Core_Pelagibacteraceae	NA	NA
func_a6acfab18a6b	Core_Pelagibacteraceae	NA	NA
func_2069cab4824f	Core_Pelagibacteraceae	NA	NA
func_19aa8d8681f5	Core_Pelagibacteraceae	NA	NA
func_c98bbebb49f5	Core_Pelagibacteraceae	NA	NA
func_e946b7e7adc5	Core_Pelagibacteraceae	NA	NA
